OSM_ID,NAME
172282899,Дровяной переулок
103557679,Дружеская аллея
126562740,Дружная улица
35134798,Друскеникский переулок
175018567,Дубковский переулок
236313540,Дубковское шоссе
39791415,Дубленский переулок
123573913,Дубовая аллея
136575685,Дубовая улица
162887191,Дубовый переулок
120347285,Дубровская улица
85988174,Дуговая улица
131224129,Дудергофский переулок
58802078,Думская улица
125199483,Думский мост
195836868,Дунайский проспект
23972805,Дунайский путепровод
121267705,Дунькина горка
35567515,Евгеньевская улица
4460909,Евпаторийский переулок
123573920,Еврейская дорожка
103268095,Егерская улица
141937559,Египетский мост
178879656,Екатерингофский мост
142110449,Екатерининская улица
120053621,Екатерининский переулок
172319573,Екатерининский проспект
239813581,Елагинский проспект
68485073,Елевая аллея
35035244,Еленинская улица
105747281,Еленинский переулок
66516793,Еленинский проезд
126521874,Елецкая улица
242339901,Елизаветинская аллея
55291559,Елизаветинская улица
132600619,Елисеевская улица
122415646,Еловая аллея
170000589,Еловая улица
82865670,Енисейская улица
126521877,Енотаевская улица
38540154,Ермоловский переулок
38531979,Ермоловский проспект
82141709,Есенинская улица
173071963,Ефремовский проезд
173619740,Жасминная улица
244210437,Ждановская набережная
253037050,Ждановская улица
78518198,Ждановский мост
31389975,Железноводская улица
49858129,Железнодорожная улица
126547071,Железнодорожный переулок
111674308,Железнодорожный проспект
155319206,Жемчужная улица
89568212,Жихаревский переулок
34352286,Жукова улица
173341073,Жуков переулок
208057247,Жуковско-Волынская улица
103207918,Журавлиная улица
101530861,Забайкальская улица
234330207,Забалканский проезд
172113705,Заводская дорога
55375430,Заводская улица
55375423,Заводской переулок
125691669,Заводской проезд
239157806,Заводской проспект
49858109,Завокзальная улица
228883287,Загородная улица
191921961,Загородный проспект
123258875,Загребский бульвар
151970326,Задворная улица
86043823,Задняя улица
47430384,Заманиловская улица
31376331,Замковая улица
195761794,Замшина улица
69289647,Замятин переулок
179742027,Заневская площадь
118651584,Заневский мост
145130005,Заневский проспект
31399676,Заозёрная улица
91939065,Западная аллея
89971727,Западная улица
202625980,Западный Артиллерийский мост
82461219,Западный переулок
140244691,Заповедная улица
23164303,Запорожская улица
59862392,Запрудная улица
38585806,Зареченская улица
137817534,Заречная аллея
173182566,Заречная дорога
80736932,Заречная улица
172369682,Зарубинская улица
175018568,Зарубинский переулок
38535013,Зарубинский проезд
96046778,Заславская улица
35536074,Заставская улица
137680813,Заусадебная улица
31402215,Захаржевская улица
146618299,Захаров переулок
222183947,Захарьевская улица
51819349,Заячий переулок
123986379,Заячий проезд
233036475,Заячий проспект
51103275,Звёздная улица
142608486,Звенигородская улица
31369140,Звериницкая улица
60495108,Зверинская улица
258476789,Зелёная аллея
72300410,Зелёная дорожка
89973730,Зелёная улица
86330779,Зеленецкий переулок
172493089,Зеленков переулок
95340634,Зеленогорская улица
155290303,Зеленогорское шоссе
143525635,Зелёный мост
162991560,Зелёный переулок
141732938,Зелёный проезд
286531541,Зелёный проспект
162141005,Земледельческая улица
138275961,Земледельческий переулок
158649372,Земляничная аллея
85942786,Земская улица
4456692,Земский переулок
34008378,Зеркальный переулок
117886303,Зимняя улица
124929724,Знаменская дорожка
172113706,Знаменская улица
43588431,Золотая улица
172901154,Зольная улица
37553087,Зональная улица
31370201,Зоологическая улица
4454376,Зоологический переулок
32776710,Зотовский проспект
146029084,ЗСД
32972128,Зубковская улица
185267102,Зыбинская улица
192265918,Ивановская улица
206259102,Ивановский переулок
